49446000,0.2336,0,2023-11-12 6:44,49452000,0.0023,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49453000,0.0031,1,2023-11-12 6:44
49444000,0.0028,0,2023-11-12 6:44,49454000,0.0536,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49448000,2.1753,0,2023-11-12 6:44,49450000,0.0025,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49452000,0.0023,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49453000,0.0031,1,2023-11-12 6:44
49444000,0.0028,0,2023-11-12 6:44,49454000,0.0036,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49448000,2.1753,0,2023-11-12 6:44,49450000,0.0025,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49451000,0.0006,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49452000,0.0023,1,2023-11-12 6:44
49445000,0.0051,0,2023-11-12 6:44,49453000,0.0031,1,2023-11-12 6:44
49444000,0.0028,0,2023-11-12 6:44,49454000,0.0036,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49448000,2.1716,0,2023-11-12 6:44,49453000,0.0031,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49454000,0.0036,1,2023-11-12 6:44
49446000,0.2336,0,2023-11-12 6:44,49455000,0.0037,1,2023-11-12 6:44
49445000,0.0884,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
49444000,0.0028,0,2023-11-12 6:44,49457000,0.0036,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49451000,0.0018,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49450000,2.0239,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
49449000,0.1029,0,2023-11-12 6:44,49457000,0.0036,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49458000,0.0082,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49459000,0.0128,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49450000,2,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49449000,0.0145,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49457000,0.0036,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49458000,0.0082,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49459000,0.0366,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49451000,0.0022,0,2023-11-12 6:44,49452000,0.0018,1,2023-11-12 6:44
49449000,2.0363,0,2023-11-12 6:44,49453000,0.003,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49454000,0.0023,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49456000,0.0018,1,2023-11-12 6:44
price,quantity,type,timestamp,price,quantity,type,timestamp
49450000,0.0218,0,2023-11-12 6:44,49451000,0.0023,1,2023-11-12 6:44
49449000,2.0145,0,2023-11-12 6:44,49452000,0.0018,1,2023-11-12 6:44
49448000,0.1716,0,2023-11-12 6:44,49453000,0.003,1,2023-11-12 6:44
49447000,0.0022,0,2023-11-12 6:44,49454000,0.0023,1,2023-11-12 6:44
49446000,0.2376,0,2023-11-12 6:44,49455000,0.0006,1,2023-11-12 6:44
